t	sumScr	maxInnSc	maxScr
387	3530.1	5.9	9.3
388	3520.5	5.7	9.5
389	3544.3	5.6	9.7
390	3536.0	5.7	9.6
391	3539.8	5.5	9.7
392	3547.4	5.5	9.8
393	3563.7	5.6	9.8
394	3529.8	5.7	9.6
395	3561.9	5.5	9.8
396	3547.1	5.6	9.4
397	3554.3	5.6	9.7
398	3547.9	5.6	9.4
399	3565.7	5.8	9.7
400	3562.8	5.8	9.6
401	3564.5	6.0	9.7
402	3573.0	6.0	9.7
403	3564.0	6.2	9.5
404	3580.4	6.2	9.3
405	3580.7	6.3	9.5
406	3589.3	6.3	9.8
407	3595.9	6.2	9.6
408	3586.1	6.2	9.6
409	3587.7	6.4	9.8
410	3602.4	6.4	9.6
411	3611.7	6.4	9.8
412	3595.4	6.2	9.6
413	3608.2	6.2	9.6
414	3601.6	6.1	9.6
415	3606.7	6.1	9.4
416	3600.9	6.1	9.7
417	3604.1	6.5	10.0
418	3614.6	6.5	9.7
419	3610.9	6.3	9.7
420	3618.2	6.3	9.4
421	3633.1	6.3	9.8
422	3620.8	6.1	9.9
423	3618.2	6.1	9.9
424	3626.0	6.1	9.9
425	3618.5	6.2	9.9
426	3643.4	6.2	9.9
427	3634.7	6.3	9.9
428	3651.6	6.2	9.6
429	3641.4	6.2	10.1
430	3646.9	6.1	9.9
431	3655.5	6.2	9.8
432	3658.8	6.2	10.0
433	3659.0	6.4	9.9
434	3664.1	6.5	9.7
435	3673.8	6.4	10.0
436	3655.4	6.5	9.6
437	3674.1	6.4	9.8
438	3681.9	6.4	9.9
439	3683.8	6.4	9.9
440	3684.5	6.2	9.8
441	3694.3	6.2	9.7
442	3697.8	6.2	10.1
443	3716.2	6.3	10.2
444	3684.1	6.2	10.0
445	3715.3	6.4	10.2
446	3712.6	6.4	10.1
447	3723.8	6.4	9.9
448	3728.2	6.4	9.9
449	3727.1	6.5	9.9
450	3736.5	6.5	10.2
451	3721.7	6.5	10.0
452	3738.9	6.4	10.0
453	3732.1	6.4	10.1
454	3747.6	6.4	10.1
455	3740.0	6.4	9.9
456	3747.6	6.4	9.9
457	3748.1	6.4	10.0
458	3747.3	6.6	10.0
459	3743.5	6.6	10.0
460	3756.0	6.6	10.1
461	3756.6	6.4	9.8
462	3747.4	6.6	10.1
463	3748.0	6.6	9.9
464	3753.8	6.6	10.0
465	3758.5	6.4	10.0
466	3775.2	6.4	10.0
467	3781.3	6.4	10.2
468	3774.2	6.4	10.2
469	3770.6	6.4	9.9
470	3785.4	6.3	10.1
471	3787.2	6.3	9.9
472	3782.4	6.5	10.5
473	3781.2	6.3	10.1
474	3803.7	6.5	10.2
475	3796.7	6.6	10.1
476	3787.6	6.4	10.1
477	3803.3	6.4	10.1
478	3802.5	6.3	10.1
479	3811.3	6.4	10.2
480	3799.3	6.4	10.2
481	3797.8	6.4	10.0
482	3811.3	6.6	10.0
483	3811.6	6.5	10.2
484	3812.2	6.6	10.3
485	3817.3	6.6	10.1
486	3809.2	6.7	10.1
487	3819.5	6.5	10.3
488	3820.9	6.5	10.4
489	3824.4	6.4	10.1
490	3816.2	6.4	10.1
491	3835.5	6.4	10.1
492	3837.8	6.4	10.1
493	3836.6	6.4	10.0
494	3822.7	6.4	10.3
495	3834.9	6.6	10.4
496	3840.5	6.4	10.3
497	3840.2	6.4	10.4
498	3849.4	6.3	10.5
499	3848.4	6.4	10.3
500	3849.0	6.4	10.2
501	3850.7	6.5	10.4
502	3855.2	6.4	10.2
503	3863.0	6.4	10.2
504	3852.4	6.4	9.9
505	3865.5	6.4	10.1
506	3858.3	6.6	10.2
507	3855.6	6.8	10.2
508	3875.1	6.6	10.2
509	3868.6	6.6	10.2
510	3879.8	6.5	10.1
511	3881.0	6.5	10.3
512	3849.5	6.5	10.0
513	3869.3	6.5	10.4
514	3881.4	6.4	10.3
515	3885.0	6.6	10.3
516	3877.9	6.4	10.3
517	3879.8	6.5	10.3
518	3884.7	6.7	10.0
519	3890.0	6.8	10.2
520	3882.0	6.8	10.0
521	3884.4	6.7	10.2
522	3903.1	6.7	10.3
523	3899.8	6.7	10.8
524	3917.7	6.7	10.2
525	3899.2	6.7	10.6
526	3905.7	6.7	10.2
527	3903.6	6.8	10.2
528	3907.5	6.7	10.9
529	3909.9	6.5	10.4
530	3915.0	6.5	10.4
531	3922.7	6.5	10.2
532	3919.7	6.5	10.5
533	3915.0	6.6	10.2
534	3934.1	6.7	10.3
535	3932.5	6.7	10.5
536	3922.6	6.5	10.5
537	3924.8	6.7	10.5
538	3929.8	6.7	10.6
539	3926.0	6.8	10.4
540	3923.9	6.6	10.2
541	3943.7	6.6	10.3
542	3933.6	6.6	10.8
543	3934.2	6.7	10.3
544	3936.8	6.6	10.4
545	3936.2	6.6	10.5
546	3948.3	6.7	10.4
547	3953.3	6.7	10.8
548	3941.3	6.7	10.3
549	3944.9	6.8	10.2
550	3954.8	6.8	10.5
551	3949.1	7.0	10.6
552	3961.5	6.9	10.6
553	3965.0	6.9	10.5
554	3964.4	7.3	10.7
555	3958.7	7.0	10.4
556	3975.1	7.0	10.5
557	3970.5	6.9	10.4
558	3972.2	7.2	10.6
559	3979.7	7.2	10.4
560	3978.8	6.9	10.4
561	3972.8	6.9	10.6
562	3975.8	6.9	10.4
563	3977.2	6.8	10.5
564	3979.5	6.8	10.6
565	3985.7	6.8	10.5
566	3985.8	6.8	10.2
567	3990.4	6.9	10.5
568	3992.9	6.8	10.8
569	4002.7	6.7	10.7
570	3993.9	6.8	10.6
571	3990.7	6.7	10.4
572	3994.9	6.8	10.6
573	3996.9	6.8	10.5
574	4007.5	6.8	10.6
575	4016.0	6.8	10.4
576	4006.3	6.7	10.6
577	4013.3	6.8	10.7
578	4001.0	6.9	10.4
579	4013.7	6.9	10.5
580	4030.3	7.1	10.4
581	4026.0	7.1	11.0
582	4022.6	7.0	10.6
583	4027.3	7.2	10.5
584	4022.1	7.4	10.7
585	4025.1	7.0	10.4
586	4028.8	6.9	10.7
587	4032.0	6.9	10.7
588	4043.4	6.9	10.6
589	4037.0	6.9	10.6
590	4049.1	6.9	10.5
591	4050.3	6.8	10.7
592	4049.8	6.8	10.4
593	4055.0	6.7	10.6
594	4060.8	6.6	10.5
595	4072.3	6.6	10.5
596	4061.3	6.7	10.5
597	4072.5	7.0	10.7
598	4066.9	6.8	10.7
599	4088.9	6.8	10.7
600	4080.9	6.8	10.6
601	4086.4	6.7	10.6
602	4073.5	6.7	10.8
603	4081.5	6.7	10.6
604	4093.0	6.9	10.7
605	4090.0	6.9	10.8
606	4091.4	7.1	10.7
607	4080.2	7.2	10.7
608	4084.7	7.1	10.7
609	4085.3	6.9	10.5
610	4087.3	6.9	10.8
611	4086.1	6.9	10.4
612	4105.5	6.8	10.7
613	4086.0	6.8	10.6
614	4105.0	6.7	10.8
615	4099.5	6.9	10.6
616	4102.8	6.9	10.6
617	4108.7	6.8	10.6
618	4110.4	6.9	10.6
619	4126.0	6.8	10.7
620	4113.0	6.9	10.8
621	4116.1	6.9	10.5
622	4126.3	7.3	10.6
623	4118.3	7.4	10.5
624	4115.8	7.4	10.7
625	4120.6	7.4	10.5
626	4116.3	7.0	10.6
627	4114.5	7.4	10.4
628	4127.9	7.6	10.8
629	4124.3	7.4	10.8
630	4124.4	7.3	10.7
631	4126.6	7.3	10.8
632	4133.0	7.3	10.5
633	4138.8	7.3	10.6
634	4124.9	7.4	10.6
635	4129.6	7.5	10.7
636	4127.4	7.4	10.7
637	4123.9	7.3	10.5
638	4132.0	7.4	10.8
639	4131.7	7.4	10.8
640	4129.2	7.3	10.8
641	4146.4	7.4	11.2
642	4139.8	7.2	10.9
643	4134.4	7.3	10.8
644	4139.4	7.2	10.6
645	4134.1	7.3	10.9
646	4146.9	7.2	10.8
647	4141.8	7.3	10.6
648	4134.7	7.3	11.1
649	4133.0	7.1	10.8
650	4144.0	7.2	10.7
651	4147.3	7.1	11.0
652	4152.6	7.2	10.8
653	4154.5	7.1	10.8
654	4155.2	7.3	11.0
655	4153.7	7.3	11.2
656	4155.0	7.2	11.2
657	4161.2	7.3	10.8
658	4163.2	7.3	11.0
659	4160.7	7.4	10.8
660	4153.1	7.4	10.8
661	4171.1	7.3	10.8
662	4184.8	7.3	10.6
663	4154.5	7.5	10.7
664	4164.1	7.4	11.0
665	4172.2	7.3	10.6
666	4174.2	7.4	10.9
667	4181.2	7.5	10.8
668	4180.0	7.4	11.3
669	4179.9	7.5	10.7
670	4170.0	7.6	11.0
671	4175.3	7.6	11.0
672	4174.8	7.6	10.8
673	4164.2	7.5	10.8
674	4173.0	7.5	10.8
675	4169.7	7.5	11.0
676	4169.4	7.6	10.6
677	4174.6	7.6	10.9
678	4168.4	7.6	10.7
679	4177.8	7.6	11.1
680	4175.7	7.6	10.8
681	4177.6	7.6	11.1
682	4187.7	7.5	10.8
683	4198.0	7.5	10.8
684	4204.3	7.5	10.9
685	4206.2	7.5	11.0
686	4216.5	7.5	10.7
687	4212.9	7.5	10.9
688	4200.8	7.4	10.8
689	4209.7	7.5	11.1
690	4209.4	7.6	10.8
691	4214.0	7.6	11.1
692	4207.8	7.6	10.6
693	4213.6	7.7	10.8
694	4227.4	7.7	11.0
695	4249.5	7.6	11.0
696	4241.4	7.6	10.7
697	4235.1	7.6	10.9
698	4230.5	7.6	11.1
699	4237.0	7.6	11.0
700	4235.5	7.7	11.0
701	4257.4	7.7	11.4
702	4262.9	7.5	11.2
703	4255.0	7.5	11.1
704	4261.8	7.5	11.1
705	4271.6	7.5	10.9
706	4259.1	7.5	11.0
707	4267.4	7.5	10.9
708	4288.4	7.6	11.2
709	4274.9	7.6	11.0
710	4279.9	7.5	11.3
711	4278.0	7.5	11.3
712	4294.9	7.5	11.3
713	4296.5	7.4	11.1
714	4276.4	7.6	11.0
715	4294.8	7.6	11.2
716	4303.0	7.5	11.2
717	4291.4	7.5	11.0
718	4294.1	7.5	11.2
719	4297.3	7.5	11.1
720	4307.6	7.4	11.1
721	4299.5	7.4	11.4
722	4308.0	7.8	11.1
723	4303.4	7.5	11.3
724	4309.0	7.5	11.4
725	4312.6	7.5	11.0
726	4316.5	7.5	11.2
727	4302.1	7.5	10.9
728	4309.5	7.5	10.9
729	4316.7	7.5	11.1
730	4326.3	7.5	11.2
731	4326.5	7.8	10.9
732	4320.7	7.5	11.2
733	4335.1	7.5	11.5
734	4335.5	7.6	11.4
735	4326.7	7.6	11.0
736	4340.9	7.6	11.3
737	4327.4	7.6	11.3
738	4332.1	7.6	11.0
739	4328.5	7.6	11.2
740	4335.7	7.5	11.4
741	4339.6	7.6	11.3
742	4345.1	7.6	11.3
743	4349.7	7.6	11.6
744	4334.8	7.7	11.5
745	4339.0	7.7	11.5
746	4339.6	7.6	11.3
747	4348.8	7.6	11.5
748	4340.5	7.6	11.3
749	4341.7	7.6	11.3
750	4346.3	7.6	11.2
751	4353.8	7.8	11.5
752	4344.5	8.1	11.2
753	4339.1	8.0	11.3
754	4352.1	8.1	11.8
755	4364.2	7.9	11.5
756	4354.3	7.9	11.3
757	4367.3	8.0	11.3
758	4367.1	7.9	11.2
759	4363.1	8.0	11.5
760	4359.6	8.0	11.4
761	4374.7	8.1	11.9
762	4362.9	8.1	11.4
763	4376.9	7.9	11.8
764	4360.9	7.6	12.1
765	4369.4	7.8	11.4
766	4377.6	7.9	11.5
767	4367.5	7.8	11.4
768	4383.2	8.4	11.8
769	4368.9	7.8	11.3
770	4381.4	7.6	11.4
771	4373.7	7.6	11.7
772	4374.6	7.6	11.3
773	4382.4	7.6	11.3
774	4385.4	7.6	11.6
775	4395.5	7.6	11.7
776	4390.1	7.6	11.5
777	4392.1	7.6	11.3
778	4392.3	7.7	11.7
779	4390.3	7.7	11.3
780	4406.5	8.0	11.7
781	4389.8	7.9	11.6
782	4391.4	7.9	11.2
783	4401.8	7.6	11.3
784	4372.5	7.6	11.3
785	4393.5	7.9	11.5
786	4399.4	7.9	11.4
787	4401.0	8.0	11.5
788	4403.2	7.9	11.3
789	4399.5	8.0	11.5
790	4402.8	8.1	11.6
791	4396.9	8.2	11.7
792	4397.3	8.2	11.4
793	4411.7	8.2	11.4
794	4410.9	8.2	11.6
795	4414.8	8.1	11.7
796	4416.1	8.2	11.7
797	4413.4	8.2	11.7
